FileName;Frame;Channel;Id;ChannelColoc;Overlap;AvgColocObjSize;AvgColocObjIntensity;ColocImageIntensity;SingleColoc
%background:/tmp/test/1 Ctrl 2.tif
1 Ctrl 2.tif;0;0;1;1;0.4000000059604645;10.0;34.45564651489258;0.1678714859437751;true
1 Ctrl 2.tif;0;0;2;1;0.0;0.0;0.0;0.0047810288774144186;true
1 Ctrl 2.tif;0;0;3;1;0.4000000059604645;35.0;69.62630462646484;0.22449799196787149;true
1 Ctrl 2.tif;0;0;4;1;0.0;0.0;0.0;0.012284431845027165;true
1 Ctrl 2.tif;0;0;5;1;0.0;0.0;0.0;0.005163511187607573;true
1 Ctrl 2.tif;0;0;6;1;0.1666666716337204;5.0;47.07914352416992;0.054216867469879526;true
1 Ctrl 2.tif;0;0;7;1;0.12962962687015533;14.571428298950195;77.28104400634766;0.049233972928752055;false
1 Ctrl 2.tif;0;0;8;1;0.0;0.0;0.0;0.00502008032128514;true
1 Ctrl 2.tif;0;0;9;1;0.0;0.0;0.0;0.058598028477546554;true
1 Ctrl 2.tif;0;0;10;1;0.11538461595773697;26.0;36.306854248046875;0.026104417670682743;true
1 Ctrl 2.tif;0;0;11;1;0.0;0.0;0.0;0.007362784471218205;true
1 Ctrl 2.tif;0;0;12;1;0.6000000238418579;35.0;35.113189697265625;0.09879518072289158;true
1 Ctrl 2.tif;0;0;13;1;0.1428571492433548;14.0;19.499048233032227;0.01985083189902467;true
1 Ctrl 2.tif;0;0;14;1;0.2985074520111084;50.0;59.24256134033203;0.08038122639812983;true
1 Ctrl 2.tif;0;0;15;1;0.0;0.0;0.0;0.009370816599732263;true
1 Ctrl 2.tif;0;0;16;1;0.0;0.0;0.0;0.013833110218652387;true
1 Ctrl 2.tif;0;1;1;0;0.0;0.0;0.0;0.03492733239568682;true
1 Ctrl 2.tif;0;1;2;0;0.0;0.0;0.0;0.03375527426160337;true
1 Ctrl 2.tif;0;1;3;0;0.6000000238418579;18.0;65.1103744506836;0.20253164556962028;true
1 Ctrl 2.tif;0;1;4;0;0.0;0.0;0.0;0.0051570557899671835;true
1 Ctrl 2.tif;0;1;5;0;0.0;0.0;0.0;0.03867791842475388;true
1 Ctrl 2.tif;0;1;6;0;0.0;0.0;0.0;0.015189873417721517;true
1 Ctrl 2.tif;0;1;7;0;0.0;0.0;0.0;0.012658227848101266;true
1 Ctrl 2.tif;0;1;8;0;1.0;108.0;68.2426986694336;0.5430379746835443;true
1 Ctrl 2.tif;0;1;9;0;0.0;0.0;0.0;0.03533755274261604;true
1 Ctrl 2.tif;0;1;10;0;0.11538461595773697;26.0;46.087459564208984;0.0440603700097371;true
1 Ctrl 2.tif;0;1;11;0;0.1538461595773697;108.0;68.2426986694336;0.09006815968841289;true
1 Ctrl 2.tif;0;1;12;0;0.0;0.0;0.0;0.028768699654775607;true
1 Ctrl 2.tif;0;1;13;0;0.0;0.0;0.0;0.018987341772151896;true
1 Ctrl 2.tif;0;1;14;0;0.0;0.0;0.0;0.012658227848101269;true
1 Ctrl 2.tif;0;1;15;0;0.17142857611179352;10.0;84.7911605834961;0.14701627486437616;true
1 Ctrl 2.tif;0;1;16;0;0.0;0.0;0.0;0.03164556962025317;true
1 Ctrl 2.tif;0;1;17;0;0.0;0.0;0.0;0.09746835443037975;true
1 Ctrl 2.tif;0;1;18;0;0.0;0.0;0.0;0.1139240506329114;true
1 Ctrl 2.tif;0;1;19;0;0.4000000059604645;67.0;99.22660064697266;0.24759493670886062;true
1 Ctrl 2.tif;0;1;20;0;0.0;0.0;0.0;0.03616636528028933;true
1 Ctrl 2.tif;0;1;21;0;0.0;0.0;0.0;0.026371308016877634;true
1 Ctrl 2.tif;0;1;22;0;0.3571428656578064;35.0;60.03929901123047;0.1799276672694394;true
1 Ctrl 2.tif;0;1;23;0;0.20000000298023224;5.0;38.25404357910156;0.0670886075949367;true
1 Ctrl 2.tif;0;1;24;0;0.0;0.0;0.0;0.03738132911392405;true
1 Ctrl 2.tif;0;1;25;0;0.0;0.0;0.0;0.05801687763713081;true
1 Ctrl 2.tif;0;1;26;0;0.11428571492433548;10.0;16.29172706604004;0.037974683544303806;true
1 Ctrl 2.tif;0;1;27;0;0.0;0.0;0.0;0.06075949367088607;true
